run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0          1.5 -0.025599412    1.4658462   -0.7824633 
   18300    1.4956681   0.22785646   0.72107896   -1.5207376 
   18400    1.4862051   0.24157657   0.72353303   -1.5040997 
   18500    1.4874839   0.22803486   0.74119447   -1.4883551 
   18600    1.4978174   0.25657831   0.77881518   -1.4662229 
   18700    1.5234429   0.24721149   0.83029809   -1.4531493 
   18800    1.5552953   0.26693038   0.86533127   -1.4658589 
   18900    1.5522585   0.23577954   0.85994876   -1.4666897 
   19000    1.5148147   0.23337358   0.80234775   -1.4681671 
   19100     1.473517   0.20300783   0.72037275   -1.4882421 
   19200    1.4672537    0.2372005   0.69457536   -1.5046517 
   19300    1.4551657   0.18714496   0.70338437   -1.4777242 
   19400    1.4741525   0.25407944   0.73793795   -1.4716295 
   19500    1.5019494   0.25063124    0.7762792   -1.4749523 
   19600    1.5200921   0.26225358   0.79880331   -1.4796217 
   19700    1.5211956   0.20503712   0.79950213    -1.480577 
   19800    1.5052817    0.2090166    0.7847292   -1.4714969 
   19900     1.510492    0.2297188   0.75620999   -1.5078257 
   20000    1.4526036   0.23701927   0.69564012   -1.4816282 
   20100    1.4226762   0.22918954   0.64129818   -1.4911128 
   20200    1.4546369   0.17135309   0.63218284   -1.5481332 
   20300     1.463551   0.15623716   0.67331121    -1.520366 
   20400    1.5049483   0.25438688   0.75394606   -1.5017804 
   20500    1.5337209   0.26816098   0.78671805   -1.5121349 
   20600    1.5376883   0.23031345   0.77816048   -1.5266391 
   20700     1.503343   0.22093864   0.75107767   -1.5022426 
   20800    1.4696023   0.21139537   0.72842953   -1.4743177 
   20900     1.468738   0.23280453   0.72402746   -1.4774243 
   21000    1.4831427   0.24006806   0.74012996   -1.4829127 
   21100    1.5045638   0.22318419   0.77820879   -1.4769413 
   21200    1.5470355   0.25577595   0.82596518   -1.4928446 
   21300    1.5556679    0.2271477   0.85343567   -1.4783129 
   21400     1.542108   0.28884883   0.84324163   -1.4681824 
   21500    1.5166199   0.22558853   0.76515518   -1.5080655 
   21600    1.4681765   0.17881324   0.69369398   -1.5069162 
   21700    1.4603765   0.15808423   0.68670268   -1.5022163 
   21800    1.4599136   0.21969113    0.7174936   -1.4707315 
   21900    1.5059789   0.22391428   0.76536302   -1.4919082 
   22000    1.5090483   0.21327966   0.80289851   -1.4589733 
   22100    1.4969658   0.27571574   0.82385514   -1.4199066 
   22200    1.5179095   0.25416227   0.83065379   -1.4444998 
   22300    1.5208181   0.22311014   0.82197666   -1.4575366 
   22400    1.4923001   0.26642129   0.79202716   -1.4447412 
   22500    1.4679703   0.23949499   0.72864458   -1.4716564 
   22600    1.4208732   0.20394277   0.66800065   -1.4617079 
   22700    1.4175462    0.2078236   0.66310715   -1.4616146 
   22800    1.4688048   0.23411233   0.70490769   -1.4966442 
   22900    1.5077115   0.21142878   0.74806742   -1.5118007 
