run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
   23900    1.0141178 -0.011074963    -2.406161   -3.9261948 
   24000   0.98242691   0.12212265   -2.4365965   -3.9091297 
   24100    0.9931828  0.021924681    -2.453722   -3.9423769 
   24200   0.98540792  0.057746036   -2.4596522   -3.9366536 
   24300   0.99905772 -0.054951805   -2.4588585   -3.9563191 
   24400    1.0132434   -0.1455825   -2.4577639    -3.976487 
   24500    0.9819176  0.054209868   -2.4481222    -3.919892 
   24600     1.008416  0.040715315   -2.4251152   -3.9366027 
   24700     1.016892  0.075114621   -2.3909489    -3.915141 
   24800     1.051522   0.10034429   -2.3558588   -3.9319567 
   24900    1.0508617   0.19732678   -2.3451874   -3.9202957 
   25000    1.0545521 -0.094771623   -2.3791823    -3.959822 
   25100    1.0224568  -0.13151168   -2.4414716   -3.9740045 
   25200   0.98703248  -0.19353927   -2.4691121   -3.9485484 
   25300   0.99239871  -0.11039355   -2.4742052   -3.9616849 
   25400   0.99613835  -0.18526141   -2.4680959   -3.9611808 
   25500    0.9878238 -0.096633467   -2.4520426   -3.9326651 
   25600   0.99970348 -0.021510052   -2.4257701   -3.9241987 
   25700    1.0036103  0.051214927   -2.3938972   -3.8981816 
   25800    1.0266806 -0.043585485   -2.3733663   -3.9122302 
   25900    1.0261221 -0.066560301   -2.3718727   -3.9098993 
   26000    1.0167668 -0.020120093   -2.3907332   -3.9147376 
   26100   0.99586021 -0.032897747   -2.4314143   -3.9240823 
   26200   0.96820543 -0.069105693   -2.4735643   -3.9247813 
   26300   0.99605718  -0.14560391   -2.4842604   -3.9772237 
   26400   0.98455368   -0.0786413   -2.4787989   -3.9545198 
   26500   0.99794339 -0.057877077   -2.4695158   -3.9653062 
   26600   0.99885667  -0.10871987   -2.4560947    -3.953254 
   26700    1.0048299 -0.080338371    -2.438508   -3.9446204 
   26800    1.0105072 -0.069038869   -2.4191915   -3.9338134 
   26900      1.01974 -0.029132245   -2.3984367   -3.9268975 
   27000      1.03035 -0.097292631   -2.3868693   -3.9312332 
   27100    1.0150425  0.056389984   -2.3909882   -3.9124081 
   27200   0.99419675 0.0019978764   -2.4249528   -3.9151275 
   27300   0.96844272  0.078807693      -2.4739   -3.9254727 
   27400   0.95514831 -0.035477438   -2.4957854   -3.9274314 
   27500   0.94830537  -0.10741584   -2.4860354   -3.9074248 
   27600    1.0025145  -0.17594536   -2.4523532   -3.9549952 
   27700    1.0075433 -0.019499631   -2.4224191   -3.9325985 
   27800    1.0070611   0.20152982   -2.4086185   -3.9180753 
   27900    1.0008291  0.068534656   -2.4104028   -3.9105185 
   28000    1.0158186 -0.075486137   -2.4226716   -3.9452548 
   28100   0.99058967 0.0044731586   -2.4372285   -3.9219967 
   28200   0.97316114  0.090369445   -2.4523734   -3.9110184 
   28300    1.0116082  -0.18239284   -2.4660228    -3.982295 
   28400   0.97948722 -0.081775068   -2.4886441   -3.9567711 
