run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0            2 -8.5924327e-05     1.997072   -1.0006741 
   38300    2.0690654   0.51810542    1.5936917   -1.5075747 
   38400    2.0198542   0.44373713    1.4786874   -1.5488177 
   38500    1.9548603   0.44017016    1.4217918   -1.5082956 
   38600    1.9388427   0.51101235    1.4190655   -1.4870135 
   38700    1.9867425   0.43476764    1.4446889   -1.5331858 
   38800    1.9993247   0.42614244    1.4887629    -1.507971 
   38900    2.0329778   0.46425104    1.5398267    -1.507349 
   39000     2.048959   0.45802158    1.5684701   -1.5026592 
   39100    2.0563432   0.47435633    1.5644021   -1.5177953 
   39200    2.0196457   0.48981145    1.5147365   -1.5124559 
   39300    1.9273367   0.50866844    1.4129322   -1.4759008 
   39400    1.9141678   0.46304212    1.3445046   -1.5245899 
   39500    1.9143182   0.43115129    1.3524489    -1.516871 
   39600    1.9343168   0.46548409    1.4011896   -1.4981057 
   39700    1.9834947   0.42651838    1.4526583   -1.5203484 
   39800    1.9731907   0.50238573    1.4880384   -1.4695239 
   39900     2.009308   0.42852439    1.5169587   -1.4947388 
   40000     2.030027   0.43117405    1.5372999   -1.5054529 
   40100    2.0190447   0.47460812    1.5398255   -1.4864661 
   40200    2.0167499   0.49170782    1.5125223   -1.5103298 
   40300    1.9653126   0.48432742    1.4465445   -1.4992096 
   40400    1.9428402   0.44736457    1.3596618    -1.552409 
   40500    1.9013824   0.45522133    1.3188775   -1.5310533 
   40600    1.9316973   0.37873428    1.3433274   -1.5520416 
   40700    1.9604161   0.50166889    1.4107694   -1.5276454 
   40800    2.0004044   0.39947425     1.461295   -1.5370571 
   40900    2.0181234   0.40231616     1.483207   -1.5417037 
   41000    1.9878293   0.47605822    1.4980718   -1.4814319 
   41100    2.0207672   0.41806203     1.513504   -1.5153693 
   41200    2.0153522   0.43920056    1.5245994   -1.4961576 
   41300    2.0095742   0.47866781      1.52432   -1.4877765 
   41400     2.000903   0.46570753    1.5025213   -1.4965783 
   41500      1.97975   0.46972825    1.4516297   -1.5157641 
   41600    1.9413482   0.44579121    1.3909108   -1.5189237 
   41700    1.9129359   0.42323702    1.3571956   -1.5100524 
   41800    1.9341063   0.41537466    1.3826462   -1.5163336 
   41900    2.0003212   0.44335528    1.4822264   -1.5160011 
   42000    2.0441939   0.50326044     1.559686   -1.5043011 
   42100    2.0303917    0.4910982    1.5710781   -1.4722213 
   42200     2.039412    0.4292653    1.5513912   -1.5054284 
   42300    2.0112558   0.39903221    1.5164296   -1.4981876 
   42400    1.9976671   0.42923524    1.4769794   -1.5172699 
   42500    1.9758743   0.46171283    1.4489604   -1.5126243 
   42600    1.9857944   0.43466187    1.4348007   -1.5416529 
   42700    1.9541404   0.48208486    1.4327581   -1.4962503 
   42800    1.9643561   0.50306355    1.4623786   -1.4819418 
   42900    2.0280938   0.48698511    1.5350719   -1.5047832 
   43000    2.0489882   0.50612851    1.5966168   -1.4745563 
   43100    2.0787085   0.46258606    1.6093562   -1.5063639 
   43200    2.0364961   0.50742486    1.5656107   -1.4868383 
