run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.73 | 2.73 | 2.73 Mbytes
Step Temp Press TotEng PotEng 
       0          4.5 -0.004916739      3.83277   -2.9121587 
   40000    4.3323803    3.4975691    4.6519406   -1.8417473 
   40100    4.4059608    3.1575798     4.622702   -1.9812738 
   40200    4.4275333    3.2014308    4.6600425   -1.9762677 
   40300    4.4870213    3.1043592    4.7389251   -1.9865502 
   40400    4.4832274    3.3994137    4.8294849   -1.8903037 
   40500    4.6113338    3.2276826    4.9132063   -1.9985976 
   40600    4.6260903    3.3074419    4.9545102   -1.9794118 
   40700     4.557912    3.3787813    4.9111607   -1.9205706 
   40800    4.5169883    3.1466163    4.7575101   -2.0128818 
   40900    4.3755333    3.0961071    4.5615133   -1.9968555 
   41000    4.3118668    3.1643801    4.4917198   -1.9712209 
   41100    4.3392274    3.1683489    4.5472356   -1.9567153 
   41200    4.5099271    2.9759814    4.6852248   -2.0745834 
   41300    4.4928125    3.2479853    4.7835651   -1.9505904 
   41400    4.5204544    3.2959245    4.8262197   -1.9493675 
   41500     4.462897    3.4459322    4.8335417   -1.8557742 
   41600    4.5137991    3.2813341    4.8270679   -1.9385439 
   41700    4.5196784    3.2693745    4.8004946   -1.9739294 
   41800    4.4352545    3.4139885    4.7623222   -1.8855611 
   41900    4.4675863    3.2313459    4.7236893   -1.9726554 
   42000    4.4022412    3.3305842    4.6796719   -1.9187287 
   42100    4.4063015    3.2715828    4.6624647   -1.9420218 
   42200    4.4650191    3.1667944     4.711691   -1.9808058 
   42300     4.552448    3.1527631    4.8183856   -2.0051559 
   42400    4.6376398    3.2043236    4.9355696   -2.0156636 
   42500     4.612405    3.3890004    4.9955715    -1.917838 
   42600     4.593398    3.4615152    4.9680418   -1.9168786 
   42700    4.5168885    3.3664089    4.8378437   -1.9323987 
   42800    4.3846441    3.3874283    4.6489775   -1.9230472 
   42900    4.3639448     3.095781    4.5402729   -2.0007263 
   43000    4.4017906    3.0186312    4.5481707   -2.0495545 
   43100    4.3901737    3.2598472    4.6473081   -1.9330049 
   43200    4.4416436    3.3759938    4.7597546   -1.8977052 
   43300    4.5178282    3.3142881    4.8218779   -1.9497729 
