run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.070403384    1.4231882 -0.075684814 
   24000   0.97830594  0.042340776   0.63346832  -0.83288807 
   24100   0.95821895  0.045180102   0.59099384   -0.8452547 
   24200   0.92923948  0.043396235   0.55329295  -0.83951905 
   24300   0.92306668  0.045581804   0.55298379  -0.83057596 
   24400   0.97551746  0.047690971    0.6210474  -0.84112941 
   24500    1.0008955  0.049533111    0.6668277  -0.83338756 
   24600    1.0294378  0.052245998   0.68334734  -0.85964917 
   24700    1.0226448  0.045788698   0.68151614  -0.85129862 
   24800     1.010858  0.054160676   0.66659119  -0.84855659 
   24900   0.99295006  0.052983484    0.6442596  -0.84404646 
   25000   0.98122318  0.046986501   0.62655736   -0.8441716 
   25100   0.96783417  0.046111606   0.62341041  -0.82725013 
   25200   0.97421413  0.048952605   0.64537321  -0.81485008 
   25300    1.0106993   0.04928172   0.68921792  -0.82569194 
   25400    1.0329681  0.056887157   0.71764951  -0.83063847 
   25500    1.0300534  0.058778649    0.7165754  -0.82734382 
   25600    1.0082974  0.054492917    0.6973228  -0.81398693 
   25700   0.99097395   0.05352036   0.67585807  -0.80948605 
   25800   0.98338403  0.049518066   0.66438539  -0.80958241 
   25900   0.98581249  0.053568808   0.66392339  -0.81368436 
   26000   0.98860507  0.054938335   0.67499191  -0.80680156 
   26100    1.0037244  0.060313564   0.69835412  -0.80610133 
   26200    1.0212874  0.052872878   0.74121083  -0.78956927 
   26300    1.0685668  0.062447884   0.79926786  -0.80237802 
   26400    1.0630546  0.066474801   0.80577832  -0.78760552 
   26500    1.0528959   0.04519698   0.76774025  -0.81041702 
   26600    1.0397782   0.06057975   0.73186129  -0.82663421 
   26700    1.0179973  0.046284115   0.70060178  -0.82524698 
   26800    0.9927385  0.053633437   0.67185618  -0.81613278 
   26900   0.98677807  0.061279961   0.65053558  -0.82851946 
   27000   0.96715069  0.051444969   0.63908079  -0.81055529 
   27100   0.97536696  0.049335041   0.64684044  -0.81511079 
   27200    0.9972046  0.052361227   0.67652787   -0.8181552 
   27300    1.0123917   0.06102665   0.70888738  -0.80855924 
   27400    1.0236867  0.049205528   0.72525334  -0.80912308 
   27500    1.0146469  0.060140388   0.72624108  -0.79458584 
   27600    1.0049029  0.051117546   0.71439146  -0.79183039 
   27700   0.97812863   0.05868056   0.69026052   -0.7758301 
   27800   0.95762738  0.036292092   0.65636187  -0.77899999 
   27900   0.95146023  0.039146844     0.635432  -0.79068608 
   28000   0.97289087  0.056898797   0.64663106  -0.81160882 
   28100    0.9976414  0.050447269   0.68919692  -0.80614087 
   28200    1.0072659  0.058889838   0.73161996  -0.77814372 
   28300    1.0380032  0.049988369   0.74782422  -0.80801074 
   28400    1.0363139  0.054644215   0.73550585   -0.8177971 
   28500    1.0080334  0.062280445   0.70415167  -0.80676233 
   28600   0.96998542  0.048496956   0.67822466  -0.77566032 
   28700   0.97594422  0.060264684   0.67381337  -0.78900309 
   28800   0.96883119  0.046297619   0.68529989  -0.76685505 
   28900   0.98684911  0.051284908   0.71132292  -0.76783859 
   29000    0.9998507   0.05498354    0.7363623  -0.76228694 
   29100    1.0147873  0.053618191   0.74906011  -0.77197714 
   29200    1.0329421  0.053257832   0.74609678  -0.80215233 
   29300    1.0177717  0.051213701    0.7269073   -0.7986033 
   29400    1.0124487  0.057044774   0.70216174  -0.81537026 
   29500   0.98757883  0.049324405   0.67871402  -0.80154125 
   29600   0.97516335  0.050381461   0.67018621  -0.79145983 
   29700   0.98211887  0.044884841   0.67921938   -0.7928521 
   29800    1.0108057  0.060605024   0.69572393  -0.81934549 
   29900    1.0176562  0.058652367   0.70349218   -0.8218453 
   30000    1.0118641  0.043512311   0.70059476  -0.81606109 
   30100    1.0000932  0.044524667   0.69347505  -0.80553761 
   30200   0.99043811  0.051356815   0.68184656  -0.80269442 
   30300   0.95740909  0.047738202   0.65657389  -0.77846076 
   30400   0.97346915  0.049048935   0.63747637  -0.82163028 
   30500    0.9695706  0.053198874   0.63552143   -0.8177418 
   30600   0.97017196  0.044867176   0.65503384  -0.79913074 
   30700   0.99085674  0.049778513    0.6968977  -0.78827074 
   30800   0.99985066  0.062306774   0.73389623  -0.76475295 
   30900     1.013406  0.049895869   0.75407425  -0.76489273 
   31000    1.0077119   0.04912175   0.76223096  -0.74820125 
   31100    1.0009974  0.057068518   0.76450849  -0.73585955 
   31200     1.017956  0.051461163   0.76428759  -0.76149917 
   31300    1.0090124  0.060292336   0.75265934  -0.75972216 
   31400    0.9877363  0.044953039   0.72089269  -0.75959862 
   31500   0.97004813  0.054511168    0.6860648  -0.76791417 
   31600   0.95501543  0.047348048   0.67143609  -0.76001078 
   31700   0.97751286  0.048115741   0.68535171  -0.77981596 
   31800    1.0095685  0.053517605   0.72681841  -0.78639655 
   31900    1.0228972  0.056325254   0.76444327   -0.7687498 
   32000    1.0197284  0.057651138   0.77264112  -0.75580226 
   32100    1.0156286  0.060352798   0.76682871  -0.75546957 
   32200    1.0028348  0.051471536   0.75624934  -0.74687273 
   32300   0.99818144  0.056490654   0.74758722  -0.74856002 
   32400    1.0050343  0.057047079   0.73955769  -0.76686111 
   32500   0.99441178  0.059554117   0.72822867  -0.76226833 
   32600   0.99039962  0.050526366   0.71269724  -0.77178604 
   32700   0.96766743  0.043687893   0.69368419  -0.75672642 
   32800   0.95400897  0.047129248   0.68648716  -0.74345115 
   32900   0.97235454  0.055391143   0.71509307  -0.74234293 
   33000     1.009486  0.057483381   0.76398618  -0.74910518 
   33100    1.0199718   0.05827924   0.79197142  -0.73683681 
   33200    1.0245247  0.049092394   0.79790038  -0.73773208 
   33300    1.0177738     0.056786   0.78643152  -0.73908211 
   33400    1.0123556   0.05196277   0.75816869  -0.75922389 
   33500   0.99624801  0.055217434   0.72234428  -0.77090499 
   33600   0.98922466  0.050789241   0.69621091  -0.78651126 
   33700   0.98073381  0.048692241   0.68777511  -0.78222035 
   33800   0.98811572  0.047668919    0.6941732   -0.7868868 
   33900   0.99008412  0.060452861   0.70723282  -0.77677756 
   34000    1.0105581  0.063135483   0.71447451  -0.80022379 
   34100   0.99715511  0.054617571   0.71182779  -0.78278111 
   34200   0.98977117  0.051639562   0.71109459  -0.77244673 
   34300    1.0026363  0.055747202   0.71511412  -0.78771042 
   34400   0.98895101  0.049879171    0.7185005   -0.7638115 
   34500    1.0053429  0.052742064   0.72338178   -0.7834995 
   34600    1.0139006  0.050864613   0.72373298  -0.79597532 
   34700   0.99420652  0.047651032      0.72032  -0.76986934 
   34800   0.99775618  0.052210821   0.72124037  -0.77426945 
